userid,movieid,rating,timestamp
4963,162,2,962625980
808,1214,5,975393742
1640,552,3,974717349
2261,17,5,974583433
620,1449,3,975800651
4393,3180,2,965159528
5357,593,4,960567590
1182,2302,3,974854170
3963,1304,5,965669750
1605,1345,2,975384989
296,1389,2,976520776
4520,1674,4,964883566
1263,2424,2,974821042
1920,3468,4,974778759
5312,1957,5,963545045
1757,173,1,974704498
4411,1176,5,970364748
330,950,4,976388388
752,2628,1,975610601
1587,3105,4,974738775
4967,2858,5,962608793
2599,1288,5,973796375
1015,3308,4,981862302
796,405,1,975419407
1851,2122,2,991448956
4404,608,3,965156234
5312,3254,4,998491781
4361,852,4,965186357
5662,587,2,958777129
1890,232,4,974695414
4430,497,4,965104573
5617,3527,4,959127923
3976,223,3,965650477
3067,2262,5,970003116
2503,1357,1,974083774
6016,1966,5,956780457
1891,1204,5,974693936
746,778,1,975466515
4635,1100,3,964035134
3118,1127,4,969393149
5194,1089,3,961697448
3792,2411,3,976802949
4343,3755,3,965223918
119,3785,1,977467502
3465,1912,3,967170012
1676,741,5,974711214
224,2355,3,976833342
3272,1517,4,968205026
204,1678,4,983855938
528,886,3,980041250
1198,2409,4,975190006
3216,1356,3,968459940
5497,1278,5,959805680
1017,903,4,975009550
4042,3218,2,965502931
1282,3536,5,974792135
5753,1387,5,958272609
2926,3755,2,1006654709
3590,2109,5,966651526
3804,2488,3,965968529
3023,2770,4,970472179
692,1028,3,978378711
2059,1221,5,974752146
3620,1291,4,972833284
4210,1320,3,965319734
929,1193,4,975190137
452,2916,5,976234482
202,2710,5,976935716
2185,348,4,974607610
5153,2321,3,961968277
4634,3074,5,975892801
5786,2788,4,958143527
5806,2276,4,957986129
5648,2110,3,958888073
3327,373,4,972988299
3320,1801,1,968522816
2676,2068,4,973401979
4686,1200,5,963626883
3507,1298,4,967154316
2129,2310,2,983416805
4387,673,1,965431704
4508,1590,3,964981725
5806,1267,5,957985208
2629,1343,4,973627159
295,2396,4,976526867
3408,1907,3,967423277
4439,2976,1,965096010
1449,1922,3,976315730
4367,3196,4,967945827
3675,3688,3,966369559
4950,2657,4,962946959
4386,3614,5,965169180
5662,292,4,958776899
5684,3052,2,958612191
2847,1320,1,972572928
4802,3789,4,964145699
5567,382,3,959348453
4381,3005,2,969678830
4886,741,5,962743721
4726,3147,4,963986611
4204,2100,4,965323185
2035,1909,4,974670407
3228,3703,4,968417519
2445,3638,4,974217740
4224,2348,2,965315585
1056,2826,5,974952816
2748,164,5,973208915
5634,589,4,959008755
4016,3849,4,965531582
368,1485,4,976670411
3967,3418,2,968872937
3484,1028,4,967062722
5475,2860,3,995607169
4900,3053,4,962687267
4158,1848,3,965338065
1948,1479,1,974695459
3563,1222,4,966787866
4492,527,5,965005981
5215,1252,4,961551210
5946,1784,4,957195245
1778,358,4,974779781
3133,3408,4,969122902
877,597,4,975271103
3663,2991,3,966410801
2110,3175,2,974650605
1484,1090,4,976833811
3914,1233,3,965795231
4913,1080,4,962678176
5536,1917,1,959714042
721,3453,4,993526288
245,1234,3,976735765
1675,2163,4,974709636
5730,2424,3,958441869
1120,2714,4,1037340535
991,3044,5,975088246
3231,1208,5,968386058
4687,344,4,963622486
1558,260,5,974740495
5627,2395,4,959040556
954,1393,3,975135343
5812,1223,5,957945715
162,457,4,977218562
3191,2194,3,968649911
58,3948,4,977941493
4235,3181,2,965311560
746,2959,4,975466643
678,3270,4,989238589
1399,2918,4,1008602195
1632,3020,3,974715803
1980,1848,3,974685151
6001,2792,2,956808565
1640,2688,2,974716757
6025,1389,2,956730454
2589,2485,1,973864293
4227,1674,5,965317279
5775,296,5,958166166
166,1268,4,977300557
651,1299,5,975709251
3299,247,5,968035030
5011,594,4,962584948
2941,2657,4,971347362
5246,1093,5,961374577
3497,3354,3,967095128
619,2599,4,975800936
5131,252,3,962131829
1019,440,4,978468637
1694,1265,5,974713650
4271,3190,1,965307177
1636,2959,5,974715009
3503,1272,4,969479344
3993,1371,2,965593441
2909,1985,3,1009396814
4673,3608,4,964488061
5148,4,1,962014297
1716,58,3,974712187
2029,2918,4,974678593
2866,1247,3,972910125
349,2917,2,1005968935
1075,1262,4,974938588
3017,2884,2,1013838498
385,2000,4,976300913
5150,3706,2,961990292
1761,1968,2,974701675
3624,9,1,966564316
442,1073,5,978454723
3833,52,3,979159602
662,44,1,975664200
385,1240,4,976584260
5580,477,4,960408959
5318,316,4,960886878
1285,457,5,974791412
3773,3551,4,966047787
5880,2770,5,957549957
536,783,5,976138677
5858,1274,5,957715581
2907,548,2,971844645
796,2411,1,975419367
958,2710,3,975128240
2401,480,5,974261140
2177,1617,4,974609297
3942,2253,1,966283270
2349,3111,2,974834255
762,3033,5,975451169
4227,393,1,965325739
192,3911,3,992655690
1502,719,3,975143704
34,3257,4,978104692
3391,292,4,970063774
855,2693,3,976339682
26,3835,3,978271421
3163,1049,1,968869039
3274,1275,5,979768727
101,2006,5,977578327
3830,233,4,965932715
1765,2028,5,974702653
850,1374,2,975352718
3013,2124,3,970510079
48,3424,3,978144328
2854,3471,3,972530819
1767,1927,4,974704191
4328,2427,3,965245705
3540,2005,5,966883017
2172,1012,3,1015104651
4179,1284,5,965333340
1546,593,5,974754236
4809,3528,4,963251833
6001,2067,3,956801617
5268,353,4,961170187
1099,3256,3,974926348
3841,1661,3,966002648
2416,3948,1,974244783
2121,2948,5,974646191
4140,3256,4,965348329
1829,296,5,974698645
1426,3257,2,974859954
1323,904,5,974860264
5636,3471,4,959053720
1215,2599,5,974841897
4829,377,5,962925079
4079,904,4,965443766
4526,1208,5,964808272
715,1270,5,975534168
231,3114,4,1040445402
4335,2312,3,965339014
1771,3576,3,974700905
1980,2470,4,974771274
1000,110,5,975040841
1556,3160,4,974748160
1457,2231,4,983499646
818,1320,2,975384980
523,480,3,976194543
2826,3039,3,975280944
1694,1441,3,974716358
3504,122,3,967478421
2743,580,4,973222823
